,Video,Camera,Colony,Density,First_frame,Last_frame,Order
137,GP084680,1,3,low,0,1055,7
138,GP094680,1,3,low,0,1055,8
139,GP104680,1,3,low,0,1055,9
140,GP114680,1,3,low,0,1055,10
141,GP124680,1,3,low,0,1055,11
142,GP134680,1,3,low,0,1055,12
143,GP144680,1,3,low,0,1055,13
144,GOPR4685,2,3,low,1056,1565,0
145,GP014685,2,3,low,0,1564,1
146,GP024685,2,3,low,0,1565,2
147,GP034685,2,3,low,0,1564,3
148,GP044685,2,3,low,0,1565,4
149,GP054685,2,3,low,0,1564,5
150,GP064685,2,3,low,0,1565,6
151,GP074685,2,3,low,0,1564,7
152,GP084685,2,3,low,0,1565,8
153,GP094685,2,3,low,0,1564,9
154,GOPR4682,3,3,low,1058,1565,0
155,GP014682,3,3,low,0,1564,1
156,GP024682,3,3,low,0,1565,2
157,GP034682,3,3,low,0,1564,3
158,GP044682,3,3,low,0,1565,4
159,GP054682,3,3,low,0,1564,5
160,GP064682,3,3,low,0,1565,6
161,GP074682,3,3,low,0,1564,7
162,GP084682,3,3,low,0,1565,8
163,GP094682,3,3,low,0,1564,9
164,GOPR4687,4,3,low,1060,1565,0
165,GP014687,4,3,low,0,1564,1
166,GP024687,4,3,low,0,1565,2
167,GP034687,4,3,low,0,1564,3
168,GP044687,4,3,low,0,1565,4
169,GP054687,4,3,low,0,1564,5
170,GP064687,4,3,low,0,1565,6
171,GP074687,4,3,low,0,1564,7
172,GP084687,4,3,low,0,1565,8
173,GP094687,4,3,low,0,1564,9
